Name,FormattedDate,Date,FinalPrice,High,Low,Final,Value,Volume,Number,Per,LastDayPrice,LastPrice
S*Mobarakeh.Steel,2021-02-14,20210214,12750,13190,12400,12770,2.77E+12,2.17E+08,26560,D,12580,12570
S*Mobarakeh.Steel,2021-02-13,20210213,12580,12580,12580,12580,1.08E+12,86221150,4956,D,11870,12580
S*Mobarakeh.Steel,2021-02-09,20210209,11680,11900,11480,11870,8.78E+11,73986789,7898,D,11340,11900
S*Mobarakeh.Steel,2021-02-08,20210208,11350,11350,11150,11340,1.80E+12,1.58E+08,14612,D,10810,11350
S*Mobarakeh.Steel,2021-02-07,20210207,10800,10810,10500,10810,3.95E+11,36586710,4029,D,10300,10810
S*Mobarakeh.Steel,2021-02-06,20210206,10670,10800,10250,10300,1.14E+12,1.10E+08,14819,D,10780,10250
S*Mobarakeh.Steel,2021-02-03,20210203,10750,11490,10670,10780,8.10E+11,75189910,8201,D,11230,10670
S*Mobarakeh.Steel,2021-02-02,20210202,11300,11600,11170,11230,1.09E+12,97460009,12971,D,11750,11170
S*Mobarakeh.Steel,2021-02-01,20210201,12000,12150,11490,11750,1.11E+12,94614721,13359,D,12090,11490
S*Mobarakeh.Steel,2021-01-31,20210131,12630,12700,11760,12090,1.26E+12,1.04E+08,18827,D,12220,11800
S*Mobarakeh.Steel,2021-01-30,20210130,11830,12250,11830,12220,1.10E+12,90129496,12609,D,11670,12250
S*Mobarakeh.Steel,2021-01-27,20210127,11580,11940,11190,11670,1.05E+12,90083984,12415,D,11680,11820
S*Mobarakeh.Steel,2021-01-26,20210126,11890,12150,11210,11680,1.56E+12,1.34E+08,25865,D,11790,11300
S*Mobarakeh.Steel,2021-01-25,20210125,11400,12100,11100,11790,1.21E+12,1.02E+08,19715,D,11620,11710
S*Mobarakeh.Steel,2021-01-24,20210124,11770,11770,11160,11620,2.88E+12,2.48E+08,34078,D,11210,11440
S*Mobarakeh.Steel,2021-01-23,20210123,11210,11210,11210,11210,3.87E+11,34566999,2648,D,10680,11210
S*Mobarakeh.Steel,2021-01-20,20210120,10550,10710,10450,10680,3.96E+11,37096676,4431,D,10200,10710
S*Mobarakeh.Steel,2021-01-19,20210119,9400,10300,9390,10200,1.27E+12,1.24E+08,12768,D,9810,10300
S*Mobarakeh.Steel,2021-01-18,20210118,9810,10000,9810,9810,1.69E+12,1.72E+08,18153,D,10320,9810
S*Mobarakeh.Steel,2021-01-16,20210116,10370,10840,10300,10320,1.75E+12,1.70E+08,14152,D,10840,10300
S*Mobarakeh.Steel,2021-01-13,20210113,11180,11500,10740,10840,1.61E+12,1.49E+08,21471,D,11300,10740
S*Mobarakeh.Steel,2021-01-12,20210112,11500,11670,11280,11300,1.55E+12,1.37E+08,15784,D,11870,11280
S*Mobarakeh.Steel,2021-01-11,20210111,12300,12300,11400,11870,9.72E+11,81843369,19202,D,11780,11520
S*Mobarakeh.Steel,2021-01-10,20210110,11650,11820,11500,11780,1.24E+12,1.06E+08,18609,D,11260,11820
S*Mobarakeh.Steel,2021-01-09,20210109,11370,11700,11200,11260,1.78E+12,1.58E+08,23877,D,11780,11230
S*Mobarakeh.Steel,2021-01-06,20210106,11850,12280,11710,11780,2.25E+12,1.91E+08,28550,D,12320,11720
S*Mobarakeh.Steel,2021-01-05,20210105,12610,12750,12060,12320,1.74E+12,1.41E+08,22845,D,12690,12060
S*Mobarakeh.Steel,2021-01-04,20210104,12720,13000,12570,12690,1.07E+12,84691004,20590,D,12640,12640
S*Mobarakeh.Steel,2021-01-03,20210103,12410,13130,12320,12640,1.19E+12,94039761,20571,D,12600,12700
S*Mobarakeh.Steel,2021-01-02,20210102,12700,13070,12560,12600,2.30E+12,1.82E+08,25300,D,13220,12560
S*Mobarakeh.Steel,2020-12-30,20201230,13510,13610,12850,13220,1.61E+12,1.22E+08,23202,D,13360,12920
S*Mobarakeh.Steel,2020-12-29,20201229,13530,13660,13150,13360,2.03E+12,1.52E+08,22333,D,13640,13610
S*Mobarakeh.Steel,2020-12-28,20201228,13450,13950,12830,13640,1.35E+12,99193496,23256,D,13500,13550
S*Mobarakeh.Steel,2020-12-27,20201227,13330,13940,13170,13500,1.74E+12,1.29E+08,25460,D,13560,13620
S*Mobarakeh.Steel,2020-12-26,20201226,13850,14200,13380,13560,2.99E+12,2.21E+08,32340,D,14030,13460
S*Mobarakeh.Steel,2020-12-23,20201223,14200,14290,13870,14030,2.24E+12,1.60E+08,29569,D,14250,13960
